"Console Name","Game Name","Price","Condition","Rating","Region","Included","Quantity","UPC","Sold","Sold-Date"
"PlayStation 4","call of duty black ops 3","20.00","","","","","3","47875874589","",""
"PlayStation 4","grand theft auto V","","","","","","0","710425475252","",""
"PlayStation 4","assassins creed IV black flag","","","","","","0","8888358114","",""
"PlayStation 4","assassins creed unity LE","","","","","","3","887256300302","",""
"PlayStation 4","j-stars victory ","","","","","","0","722674120234","",""
"PlayStation 4","destiny","","","","","","2","47875846913","",""
"PlayStation 4","nba 2k16","","","","","","2","710425475993","",""
"PlayStation 4","killzone shadowfall","","","","","","2","711719100089","",""
"PlayStation 4","dragon age inquisition","","","","","","1","14633730913","",""
"PlayStation 4","Metro exodus","","","","","","0","816819014516","",""
"PlayStation 4","tomb raide definitive edition","","","","","","0","662248913803","",""
"PlayStation 4","mortal kombat x","","","","","","1","883929425112","",""
"PlayStation 4","batman arkham knight ","","","","","","1","883929412044","",""
"PlayStation 4","madden nfl 16","","","","","","1","14633733808","",""
"PlayStation 4","uncharted 4","","","","","","3","","",""
"PlayStation 4","black ops 3 steelbook","","","","","","0","","",""
"PlayStation 4","watch dogs","","","","","","0","8888358046","",""
"PlayStation 4","fallout 4","","","","","","2","93155170414","",""
"PlayStation 4","the division","","","","","","0","887256013905","",""
"PlayStation 4","dragon ball xenoverse 2","","","","","","0","722674120432","",""
"PlayStation 4","no man's sky","","","","","","1","711719501466","",""
"PlayStation 4","Kingdom hearts hd 2.8 LE","","","","","","0","662248919072","",""
"PlayStation 4","metal gear solid ground zeroes ","","","","","","3","83717202899","",""
"PlayStation 4","terraria","","","","","","0","812872018294","",""
"PlayStation 4","farcry primal ","","","","","","2","887256017026","",""
"PlayStation 4","the crew","","","","","","0","887256300920","",""
"PlayStation 4","ufc 3","","","","","","0","14633735420","",""
"PlayStation 4","guitar hero live","","","","","","1","","",""
"PlayStation 4","wwe 2k16","","","","","","0","710425476167","",""
"PlayStation 4","star wars battlefront ","","","","","","3","14633368680","",""
"PlayStation 4","final fantasy x/ x-2 hd","","","","","","0","662248916040","",""
"PlayStation 4","bloodborne ","","","","","","3","711719053156","",""
"PlayStation 4","just cause 3","","","","","","0","662248915920","",""
"PlayStation 4","the show 17","","","","","","0","711719504597","",""
"PlayStation 4","assassin's creed syndicate ","","","","","","0","887256014254","",""
"PlayStation 4","Battlefield 1 ","","","","","","4","14633733891","",""
"PlayStation 4","dragon ball xenoverse ","","","","","","2","72267412029","",""
"PlayStation 4","mlb the show 15","","","","","","2","711719053071","",""
"PlayStation 4","street fighter v","","","","","","1","1338856017","",""
